VendorName,TotalPurchaseDollars,GrossProfit,TotalSalesDollars,PurchaseContribution%
DIAGEO NORTH AMERICA INC,50097226.16,17892873.26,67990099.42,16.3
MARTIGNETTI COMPANIES,25502095.83,13828263.53,39330359.36,8.3
PERNOD RICARD USA,23851164.17,8212032.02,32063196.19,7.76
JIM BEAM BRANDS COMPANY,23494304.32,7928716.14,31423020.46,7.64
BACARDI USA INC,17432020.26,7422796.88,24854817.14,5.67
CONSTELLATION BRANDS INC,15273708.08,8945037.57,24218745.65,4.97
BROWN-FORMAN CORP,13238939.18,5008291.47,18247230.65,4.31
E & J GALLO WINERY,12068539.22,6331360.24,18399899.46,3.93
ULTRA BEVERAGE COMPANY LLP,11167081.61,5335462.7,16502544.31,3.63
M S WALKER INC,9764312.6,4942145.91,14706458.51,3.18
SAZERAC CO INC,9714369.07,3385031.86,13099400.93,3.16
MOET HENNESSY USA INC,9250580.36,4105873.32,13356453.68,3.01
PROXIMO SPIRITS INC.,7331096.34,2960378.36,10291474.7,2.39
WILLIAM GRANT & SONS INC,5876538.26,1693337.94,7569876.2,1.91
WINE GROUP INC,5203801.17,3100242.11,8304043.28,1.69
PERFECTA WINES,4619722.66,2545958.99,7165681.65,1.5
CAMPARI AMERICA,4052963.68,1483133.29,5536096.97,1.32
MAJESTIC FINE WINES,3505853.11,1868978.2,5374831.31,1.14
SAZERAC NORTH AMERICA INC.,3504979.06,1437068.05,4942047.11,1.14
SOUTHERN WINE & SPIRITS NE,3430367.42,2110612.98,5540980.4,1.12
"STOLI GROUP,(USA) LLC",3405741.88,1113486.22,4519228.1,1.11
REMY COINTREAU USA INC,3130918.49,997660.5,4128578.99,1.02
STE MICHELLE WINE ESTATES,3072111.15,1817809.17,4889920.32,1.0
TREASURY WINE ESTATES,2884603.55,1802505.64,4687109.19,0.94
PINE STATE TRADING CO,2865890.04,1614168.98,4480059.02,0.93
HEAVEN HILL DISTILLERIES,2644130.1,1024598.41,3668728.51,0.86
PALM BAY INTERNATIONAL INC,2546769.05,1369284.97,3916054.02,0.83
TRINCHERO FAMILY ESTATES,2154699.95,1234266.24,3388966.19,0.7
EDRINGTON AMERICAS,1878614.18,643664.17,2522278.35,0.61
LUXCO INC,1862411.01,844081.92,2706492.93,0.61
KOBRAND CORPORATION,1741559.47,1049960.24,2791519.71,0.57
SIDNEY FRANK IMPORTING CO,1715908.88,540462.37,2256371.25,0.56
CASTLE BRANDS CORP.,1626446.23,642718.01,2269164.24,0.53
BANFI PRODUCTS CORP,1608143.72,1023941.41,2632085.13,0.52
MHW LTD,1600532.87,735640.44,2336173.31,0.52
DELICATO VINEYARDS INC,1494318.89,812223.49,2306542.38,0.49
STATE WINE & SPIRITS,1455770.99,790073.58,2245844.57,0.47
DIAGEO CHATEAU ESTATE WINES,1279691.73,835310.38,2115002.11,0.42
VINEYARD BRANDS INC,1175591.29,649763.34,1825354.63,0.38
DISARONNO INTERNATIONAL LLC,1141947.85,583311.38,1725259.23,0.37
FREDERICK WILDMAN & SONS,602133.68,419400.19,1021533.87,0.2
SHAW ROSS INT L IMP LTD,596585.0,244104.58,840689.58,0.19
VINILANDIA USA,501087.21,285840.65,786927.86,0.16
OLE SMOKY DISTILLERY LLC,387622.69,110979.95,498602.64,0.13
PHILLIPS PRODUCTS CO.,329509.32,192432.38,521941.7,0.11
CHARLES JACQUIN ET CIE INC,325229.02,120791.39,446020.41,0.11
